p: 351.196006542, r: 86.515929839, y: 189.675121875
p: 352.325070963, r: 86.3060859372, y: 189.416653856
p: 353.539108913, r: 86.1544489074, y: 189.235571881
p: 354.663540758, r: 85.9074487765, y: 188.964181145
p: 355.708114031, r: 85.7229175556, y: 188.578712589
p: 356.714062371, r: 85.4521278758, y: 188.16716637
p: 357.859723511, r: 85.1408556648, y: 187.666486183
p: 358.903867656, r: 84.7253069557, y: 187.088324331
p: 359.855606026, r: 84.3409039092, y: 186.59040354
p: 0.867178959715, r: 83.8825640649, y: 186.052731049
p: 1.70886744, r: 83.3335193085, y: 185.608181356
p: 2.58820285578, r: 82.8323951593, y: 185.172620193
p: 3.19219477654, r: 82.2888213844, y: 184.720871481
p: 3.97601447908, r: 81.7917680279, y: 183.888476327
p: 4.71183460035, r: 81.3502509396, y: 182.809456702
p: 5.30445254859, r: 81.4086832079, y: 181.949208037
p: 5.68779691576, r: 81.7839952726, y: 181.242392741
p: 6.03079919748, r: 82.7119311129, y: 180.532421897
p: 6.30321488922, r: 84.0449654728, y: 179.761658728
p: 6.2703492996, r: 85.6919221572, y: 179.372474549
p: 5.82906956034, r: 87.6402199576, y: 179.318748281
p: 4.96077407814, r: 89.5767015307, y: 179.487631538
p: 3.90854587046, r: 91.2247578755, y: 179.879861981
p: 2.91649205626, r: 92.6707362435, y: 180.541492388
p: 1.84917062461, r: 93.9700431294, y: 180.955716041
p: 0.603786641556, r: 94.7977186228, y: 181.401194639
p: 359.224280528, r: 95.4039867041, y: 181.961461396
p: 357.898758469, r: 95.4883053894, y: 182.683316769
p: 356.557549867, r: 95.3104404332, y: 183.609613364
p: 355.368776146, r: 94.6369427999, y: 184.474124067
p: 354.193042323, r: 93.7591200576, y: 185.414190323
p: 353.213443786, r: 92.7234653039, y: 186.219824796
p: 352.293459993, r: 91.4239876634, y: 186.942868622
p: 351.339828128, r: 90.0138404677, y: 187.60823833
p: 350.560658076, r: 88.5620222879, y: 188.205524713
p: 349.909632619, r: 87.1975075861, y: 188.602563609
p: 349.693268448, r: 86.2313363469, y: 188.845486117
p: 349.709874346, r: 85.3720439078, y: 188.933185746
p: 349.862868875, r: 84.6465753651, y: 188.925358349
p: 350.327979998, r: 84.1047023073, y: 188.728362033
p: 351.200567401, r: 83.7681652265, y: 188.412028652
p: 352.351381705, r: 83.5705132123, y: 187.822433063
p: 353.80534926, r: 83.4845894326, y: 187.07206848
p: 355.201168, r: 83.439653618, y: 186.403051451
p: 356.569570787, r: 83.5576656265, y: 185.847374581
p: 357.966137645, r: 83.7820031898, y: 185.140190455
