Var1,Var2_1,Var2_2,Var2_3
1.63014198152717,-4.40053756920169,0.323464350406866,97.7709480502512
1.66028396305434,-4.48910822366092,0.330340149082387,101.744991487323
1.6904259445815,-4.57821411488006,0.337272801410094,105.805577643512
1.7,-4.60663099295218,0.339486959063611,107.113413189521
1.73105762280754,-4.69920279855909,0.346710973183147,111.415675437227
1.76211524561507,-4.79238115636222,0.353999540854383,115.809055456364
1.79317286842261,-4.88618404792042,0.361354547189562,120.293348396658
1.8,-4.90688920509877,0.362980398533535,121.291272444978
1.83413565788696,-5.01089023206682,0.371160126167902,126.346747600934
1.86827131577393,-5.11569829785733,0.379425542435658,131.511991644015
1.9,-5.213861794383,0.387187276111805,136.411472140282
1.93810039918412,-5.33271808395454,0.396611711088818,142.420201741743
1.97620079836823,-5.4526747666291,0.406153143575746,148.565644193433
